accession,name,CS number,country code,latitude,longitude,collector,seq by,continent,country,admixed group,site,GTM axis 1,GTM axis 2,t-SNE axis 1,t-SNE axis 2,Principal component 1,Principal component 2
9761,Bik-1,CS76449,LBN,33.92,35.7,0,Salk,Asia,"Lebanon","Central Europe","",-7.410658629765076721e-01,-2.655293173663481401e-02,-3.601484298706054688e+01,1.265247726440429688e+01,-1.669390821962072380e+01,-5.640586596376070183e+00
9762,Etna-2,CS76487,ITA,37.69,14.98,0,Salk,Europe,"Italy","Admixed","",-8.690719068261641977e-01,-7.506660589270339745e-01,-2.888212394714355469e+01,-4.379257583618164062e+01,-1.842966979280327777e+01,-2.339650410445052842e+00
9764,Qar-8a,CS76581,LBN,34.1,35.84,0,Salk,Asia,"Lebanon","Admixed","",-8.491778704932039235e-01,-7.558728532968871372e-01,-2.892394828796386719e+01,-4.396354293823242188e+01,-1.829346274711939913e+01,-5.441848750073657648e+00
9766,Westkar-4,CS76629,KGZ,42.26,74.16,0,Salk,Asia,"Kyrgyzstan","Asia","",-6.146134572259408513e-01,9.963376884036260206e-01,-3.184296417236328125e+01,8.796107482910156250e+01,-3.198834906666755984e+01,8.831761825530720955e+01
9768,Ru4-16,CS77225,GER,48.57,9.16,0,Monsanto,Europe,"Germany","Central Europe","Near Rubgarten",-9.699307816374846958e-01,-2.170946175637295320e-02,-5.659826755523681641e+00,-1.910110282897949219e+01,-1.061733494015674673e+01,-1.461959434546587921e+01
9769,HE-1,CS76916,GER,48.55,8.99,0,Monsanto,Europe,"Germany","Central Europe","Entringen/Hagelloch",-9.925766962795881110e-01,-1.991468836186678637e-02,-9.299684524536132812e+00,-2.114034843444824219e+01,-1.019637850845647087e+01,-1.674791861267970461e+01
9770,KBG2-13,CS76966,GER,48.53,9.01,0,Monsanto,Europe,"Germany","Central Europe","Hagelloch (Kreuzberg)",-9.920287876791071824e-01,-2.124336240656236191e-02,-7.577725410461425781e+00,-2.098326683044433594e+01,-9.316023914295353592e+00,-1.615117761650741457e+01
9771,Pfn-N2.2-6,CS77172,GER,48.56,9.11,0,Monsanto,Europe,"Germany","Central Europe","Near Pfrondorf",-9.923728600665244759e-01,-2.020946214573155972e-02,-9.405567169189453125e+00,-2.062918663024902344e+01,-9.861044905782422987e+00,-1.629885871408796305e+01
9772,Hof-1,CS76925,GER,48.41,8.85,0,Monsanto,Europe,"Germany","Central Europe","Hofendorf",-9.758160199463423723e-01,-2.303328279717747895e-02,-6.085184097290039062e+00,-2.008690071105957031e+01,-9.759492065895980062e+00,-1.751772562819693135e+01
9774,Alt-1,CS76663,GER,48.59,9.22,0,Monsanto,Europe,"Germany","Central Europe","Altensteig",-9.569999404851926572e-01,-5.348824170669805311e-02,-3.942464113235473633e+00,-1.884278488159179688e+01,-9.777624386603561035e+00,-1.310886476897331043e+01
9775,Berg-1,CS76701,GER,48.41,8.79,0,Monsanto,Europe,"Germany","Central Europe","Near Felldorf",-9.897401760362886103e-01,-2.993409546072773805e-02,-7.456369400024414062e+00,-2.036934280395507812e+01,-8.674825351166202125e+00,-1.738396155955638989e+01
9776,Fell3-7,CS76857,GER,48.43,8.79,0,Monsanto,Europe,"Germany","Central Europe","Felldorf",-9.927789127161187333e-01,-2.304764611871868568e-02,-7.242667198181152344e+00,-2.095863723754882812e+01,-1.034476304581866835e+01,-1.751350632878025237e+01
9777,Gn-1,CS76880,GER,48.57,9.17,0,Monsanto,Europe,"Germany","Central Europe","Gniebel",-9.340287118563860291e-01,-3.544053371494580718e-02,-5.125909805297851562e+00,-1.812870216369628906e+01,-1.194299846815790644e+01,-1.493236792787594069e+01
9778,Bach-7,CS76679,GER,48.41,8.84,0,Monsanto,Europe,"Germany","Central Europe","Near Starzach Wachendorf",-9.622236101505741157e-01,-5.201081455966428263e-02,-4.524497509002685547e+00,-1.897358703613281250e+01,-7.619987141730214297e+00,-1.710844234544351750e+01
9779,Bai-10,CS76682,GER,48.5,8.78,0,Monsanto,Europe,"Germany","Central Europe","Baisingen",-9.939049739926349991e-01,-2.533498734958705700e-02,-6.343307971954345703e+00,-2.142923355102539062e+01,-8.162475331925866939e+00,-1.691822017912743803e+01
9780,Fell2-4,CS76856,GER,48.43,8.79,0,Monsanto,Europe,"Germany","Central Europe","Felldorf",-9.887709956671945077e-01,-2.270710709244422656e-02,-7.331167697906494141e+00,-1.958837890625000000e+01,-6.799502258205690985e+00,-1.606867667661975929e+01
9781,Kus2-2,CS76990,GER,48.52,9.11,0,Monsanto,Europe,"Germany","Central Europe","Kusterdingen",-9.905072080050085770e-01,-1.703555921131195625e-02,-8.899985313415527344e+00,-1.974194526672363281e+01,-7.647496708566126955e+00,-1.958105604983262893e+01
9782,Lu3-30,CS77057,GER,48.53,9.09,0,Monsanto,Europe,"Germany","Central Europe","Tubingen-Lustnau",-9.846312892618911405e-01,-1.483232169893948516e-02,-9.833410263061523438e+00,-1.946748542785644531e+01,-1.147886606734642356e+01,-1.365100130993766925e+01
9783,Tu-PK-7,CS77396,GER,48.52,9.05,0,Monsanto,Europe,"Germany","Admixed","Tubingen (central)",5.021562063750123484e-01,4.973912117393132770e-01,7.590284824371337891e+00,1.274636840820312500e+01,-5.640497108358565548e+00,-5.066707136352412100e+00
9784,Erg2-6,CS76845,GER,48.5,8.8,0,Monsanto,Europe,"Germany","Central Europe","Ergenzingen",-9.989274334955964285e-01,-1.603487133565913159e-02,-9.224149703979492188e+00,-2.222599220275878906e+01,-6.933046547339721144e+00,-1.827471228147500781e+01
9785,Ha-HBT1-2,CS76898,GER,48.54,9.02,0,Monsanto,Europe,"Germany","Central Europe","Hagelloch (Heuberg)",-9.918446067688961865e-01,-2.017122983185700921e-02,-8.166391372680664062e+00,-2.000336647033691406e+01,-9.270528863871339453e+00,-1.848535391467559208e+01
9786,Ha-P-13,CS76901,GER,48.54,9.01,0,Monsanto,Europe,"Germany","Central Europe","Hagelloch",-9.961800931280679894e-01,-1.615993131040472860e-02,-7.921031475067138672e+00,-2.142883110046386719e+01,-8.500225586621395379e+00,-1.812543858366617400e+01
9787,HI-4,CS76922,GER,48.5,9,0,Monsanto,Europe,"Germany","Central Europe","Hirschau",-9.919076597605099854e-01,-1.698759557732978931e-02,-8.456684112548828125e+00,-2.069358825683593750e+01,-1.090415619984910656e+01,-1.555417032364441532e+01
9788,KBG1-14,CS76965,GER,48.53,9.01,0,Monsanto,Europe,"Germany","Central Europe","Hagelloch (Kreuzberg)",-9.954057498258453984e-01,-1.787469990164498174e-02,-9.356406211853027344e+00,-2.147797012329101562e+01,-1.003002690907140604e+01,-1.716111599395611265e+01
9789,Obh-13,CS77140,GER,48.39,8.96,0,Monsanto,Europe,"Germany","Central Europe","Oberhausen",-9.804333940577658613e-01,-3.153814426238022578e-02,-4.402046680450439453e+00,-1.997789382934570312e+01,-9.579657922630508082e+00,-1.661776531044050031e+01
9790,Gn2-3,CS76881,GER,48.58,9.18,0,Monsanto,Europe,"Germany","Central Europe","Gniebel",-9.165251499861338802e-01,-6.567322964697663856e-02,-3.928466558456420898e+00,-1.786702919006347656e+01,-1.180656492910080679e+01,-1.214645376071226579e+01
9791,Haes-1,CS76914,GER,48.6,9.2,0,Monsanto,Europe,"Germany","Central Europe","Haslach",-9.677907648352570558e-01,-2.977999952767345151e-02,-6.373699665069580078e+00,-1.969083023071289062e+01,-1.062479602828784664e+01,-1.575303668675988433e+01
9792,Lu4-2,CS77058,GER,48.54,9.09,0,Monsanto,Europe,"Germany","Central Europe","Tubingen-Lustnau",-9.860297562394846338e-01,-1.120448988852537804e-02,-9.885359764099121094e+00,-1.947088813781738281e+01,-1.234359699375984398e+01,-1.523457313226926502e+01
9793,Ru-N2,CS77224,GER,48.57,9.16,0,Monsanto,Europe,"Germany","Central Europe","Rubgarten-north",-9.704426486481126934e-01,-3.576089478997594717e-02,-5.570442676544189453e+00,-1.982780075073242188e+01,-1.264101980086474875e+01,-1.473217239523669519e+01
9794,Tu-B1-2,CS77391,GER,48.52,9.08,0,Monsanto,Europe,"Germany","Central Europe","Tubingen (East)",-9.799994876340605288e-01,-2.058666293926792248e-02,-7.421003341674804688e+00,-1.926009368896484375e+01,-8.352020205123693586e+00,-1.581050051248925215e+01
9795,Wank-2,CS78852,GER,48.5,9.11,0,Monsanto,Europe,"Germany","Central Europe","Wankheim",-9.788675447671296714e-01,-2.007407273656139704e-02,-7.298027515411376953e+00,-1.860331916809082031e+01,-7.501141539329601926e+00,-1.571828065212846148e+01
9796,Bach2-1,CS76680,GER,48.41,8.84,0,Monsanto,Europe,"Germany","Central Europe","Near Starzach Wachendorf",-9.764035791619887217e-01,-3.596044730270032269e-02,-6.285688877105712891e+00,-1.899644851684570312e+01,-8.514682451611729874e+00,-1.591848730617318708e+01
9797,Ha-HBT2-10,CS76899,GER,48.54,9.02,0,Monsanto,Europe,"Germany","Central Europe","Hagelloch (Heuberg)",-9.897167702684283030e-01,-3.280840191602194672e-02,-8.790795326232910156e+00,-2.033613586425781250e+01,-9.614061735036887768e+00,-1.492676204781530203e+01
9798,Ha-P2-1,CS76902,GER,48.54,9.01,0,Monsanto,Europe,"Germany","Central Europe","Hagelloch",-9.907238819000651064e-01,-1.604301102389046191e-02,-1.004180049896240234e+01,-2.106854248046875000e+01,-9.520217974388692994e+00,-1.781923221297482129e+01
9799,Hart-2,CS76913,GER,48.39,8.85,0,Monsanto,Europe,"Germany","Central Europe","Hart",-9.728376273212463454e-01,-4.687566106173170905e-02,-2.415850400924682617e+00,-2.009052848815917969e+01,-9.014706666712774208e+00,-1.702480799097769193e+01
9800,Ha-S-B,CS76903,GER,48.54,9.01,0,Monsanto,Europe,"Germany","Central Europe","Hagelloch (South)",-9.855071999028272023e-01,-3.708925112546282432e-02,-5.489457130432128906e+00,-2.101788902282714844e+01,-8.772100024568132426e+00,-1.603064716992473038e+01
9801,Ha-SP-2,CS76904,GER,48.54,9.01,0,Monsanto,Europe,"Germany","Central Europe","Hagelloch (Sport field)",-9.893127594045373341e-01,-1.525677276648513409e-02,-1.014925289154052734e+01,-2.073754119873046875e+01,-1.180286664509179850e+01,-1.767903672167841833e+01
9802,Kus3-1,CS76991,GER,48.51,9.11,0,Monsanto,Europe,"Germany","Central Europe","Kusterdingen (field)",-9.871519297815388727e-01,-3.076685207913499101e-02,-8.470036506652832031e+00,-1.957037353515625000e+01,-8.133450381257066653e+00,-2.016624578606795737e+01
9803,Muh-2,CS77113,GER,48.42,8.76,0,Monsanto,Europe,"Germany","Central Europe","Bad Imnau - Muhringen",-9.616639104494506540e-01,-2.982411962470017663e-02,-5.325563430786132812e+00,-1.871793556213378906e+01,-8.982242891022464093e+00,-1.308549837979322916e+01
9804,Obe1-15,CS77139,GER,48.45,8.87,0,Monsanto,Europe,"Germany","Central Europe","Obernau",-9.788470600976482139e-01,-3.494058644201485792e-02,-6.674357414245605469e+00,-1.847933578491210938e+01,-1.120183172105949865e+01,-1.653004557053209567e+01
9805,Pfn-10,CS77171,GER,48.54,9.09,0,Monsanto,Europe,"Germany","Central Europe","Pfrondorf",-9.907650402396338540e-01,-3.114409454620059928e-02,-6.096190452575683594e+00,-2.106741523742675781e+01,-7.463710032325884924e+00,-1.648203187505710687e+01
9806,Ru-2,CS77223,GER,48.56,9.16,0,Monsanto,Europe,"Germany","Central Europe","Rubgarten",-9.799995501308452761e-01,-4.045964054347705313e-02,-3.533955097198486328e+00,-2.018083190917968750e+01,-8.426346272298298246e+00,-1.557380016867600503e+01
9807,Schl-7,CS77240,GER,48.6,9.22,0,Monsanto,Europe,"Germany","Central Europe","Schlaitdorf",-9.809593103900623445e-01,-2.914960819810133788e-02,-4.372951030731201172e+00,-2.003190612792968750e+01,-1.005833636115051632e+01,-1.588751307196551110e+01
9808,Tu-B2-3,CS77392,GER,48.52,9.08,0,Monsanto,Europe,"Germany","Central Europe","Tubingen (East)",-9.905478802307048358e-01,-2.465948197481781720e-02,-6.687933444976806641e+00,-2.125071144104003906e+01,-8.019985793152319076e+00,-1.810670910779564480e+01
9809,Tu-KB-6,CS77393,GER,48.52,9.05,0,Monsanto,Europe,"Germany","Western Europe","Tubingen (central)",8.864616179767248472e-01,-6.588280797402396027e-01,1.462274456024169922e+01,-2.592614364624023438e+01,4.317322019458607940e+00,-2.022140761308045853e+01
9810,Tu-KS-7,CS77394,GER,48.53,9.07,0,Monsanto,Europe,"Germany","Central Europe","Tubingen (central)",-9.354640469627883981e-01,-2.548121891188691313e-02,-4.834972381591796875e+00,-1.765062713623046875e+01,-9.761798817284589092e+00,-1.649121381683013254e+01
9811,Tu-NK-12,CS77395,GER,48.52,9.05,0,Monsanto,Europe,"Germany","Central Europe","Tubingen (central)",-9.707988319813933842e-01,-7.537127905189096311e-02,-3.168449401855468750e+00,-1.910996627807617188e+01,-7.530941877583223310e+00,-1.231334107733019501e+01
9812,Tu-W1,CS77397,GER,48.52,9.03,0,Monsanto,Europe,"Germany","Central Europe","Tubingen (West)",-9.922719025380861702e-01,-1.709607321540463146e-02,-8.596777915954589844e+00,-2.112080192565917969e+01,-8.335076627399233828e+00,-1.571286245533531201e+01
9813,BI-4,CS76706,GER,48.4,8.77,0,Monsanto,Europe,"Germany","Central Europe","Bad Imnau",-9.939980377678181434e-01,-2.223177810219346268e-02,-8.308959960937500000e+00,-2.105653572082519531e+01,-6.937899969421631674e+00,-1.565023309171427712e+01
9814,Fell1-10,CS76855,GER,48.42,8.79,0,Monsanto,Europe,"Germany","Central Europe","Near Felldorf",-9.927798421916094185e-01,-2.350597810387908965e-02,-7.983381748199462891e+00,-2.032454109191894531e+01,-8.673098104016062848e+00,-1.825198675552598004e+01
9815,Ha-HBT3-11,CS76900,GER,48.54,9.02,0,Monsanto,Europe,"Germany","Central Europe","Near Gross Engstingen",-9.721263707733984738e-01,-3.377222896770108729e-02,-6.559821128845214844e+00,-1.931280899047851562e+01,-8.537270258368911513e+00,-1.370905068581633657e+01
9816,Tu-WH,CS77398,GER,48.55,9.06,0,Monsanto,Europe,"Germany","Central Europe","Hagelloch (Heuberg)",-9.958066394036579894e-01,-1.536976031421966905e-02,-7.773738384246826172e+00,-2.199720954895019531e+01,-6.736274160535918654e+00,-1.650380490630784891e+01
